date_time;daylight_time;civil_twilight;sun_noon_01;daylight_01;civil_twilight_01
2014-12-09 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 06:00:00;0 days 00:00:00.000000000;0 days 00:07:16.000000000;0;0;1
2014-12-10 07:00:00;0 days 00:26:31.000000000;0 days 00:33:29.000000000;0;1;1
2014-12-10 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-10 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-10 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-10 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-10 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-10 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-10 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-10 15:00:00;0 days 00:23:36.000000000;0 days 00:36:24.000000000;0;1;1
2014-12-10 16:00:00;0 days 00:00:00.000000000;0 days 00:04:21.000000000;0;0;1
2014-12-10 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-10 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 06:00:00;0 days 00:00:00.000000000;0 days 00:06:16.000000000;0;0;1
2014-12-11 07:00:00;0 days 00:25:26.000000000;0 days 00:34:34.000000000;0;1;1
2014-12-11 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-11 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-11 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-11 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-11 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-11 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-11 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-11 15:00:00;0 days 00:23:25.000000000;0 days 00:36:35.000000000;0;1;1
2014-12-11 16:00:00;0 days 00:00:00.000000000;0 days 00:04:15.000000000;0;0;1
2014-12-11 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-11 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 06:00:00;0 days 00:00:00.000000000;0 days 00:05:18.000000000;0;0;1
2014-12-12 07:00:00;0 days 00:24:24.000000000;0 days 00:35:36.000000000;0;1;1
2014-12-12 08:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-12 09:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-12 10:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-12 11:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;1;1;0
2014-12-12 12:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-12 13:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-12 14:00:00;0 days 01:00:00.000000000;0 days 00:00:00.000000000;0;1;0
2014-12-12 15:00:00;0 days 00:23:19.000000000;0 days 00:36:41.000000000;0;1;1
2014-12-12 16:00:00;0 days 00:00:00.000000000;0 days 00:04:13.000000000;0;0;1
2014-12-12 17:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 18:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 19:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 20:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 21:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 22:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-12 23:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-13 00:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-13 01:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-13 02:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-13 03:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-13 04:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
2014-12-13 05:00:00;0 days 00:00:00.000000000;0 days 00:00:00.000000000;0;0;0
